DTXSID;PREFERRED NAME;CASRN;INCHIKEY;IUPAC NAME;SMILES;INCHI STRING;MOLECULAR FORMULA;AVERAGE MASS;MONOISOTOPIC MASS;QC Level;# ToxCast Active;Total Assays;% ToxCast Active;Origin;Similarity to TPP [tanimoto]
DTXSID00167783;Phosphoric acid, o-chlorophenyl diethyl ester;16462-86-5;APOXHPYVMRKTKO-UHFFFAOYSA-N;2-Chlorophenyl diethyl phosphate;CCOP(=O)(OCC)OC1=CC=CC=C1Cl;"InChI=1S/C10H14ClO4P/c1-3-13-16(12,14-4-2)15-10-8-6-5-7-9(10)11/h5-8H,3-4H2,1-2H3
";C10H14ClO4P;264.64;264.031824;4; ;;;Comptox similarity search to TPP;0.666666687
DTXSID40186453;Phosphoric acid, 2,4-dichlorophenyl diethyl ester;3279-62-7;TVZVEGZSJDAAKQ-UHFFFAOYSA-N;2,4-Dichlorophenyl diethyl phosphate;CCOP(=O)(OCC)OC1=C(Cl)C=C(Cl)C=C1;"InChI=1S/C10H13Cl2O4P/c1-3-14-17(13,15-4-2)16-10-6-5-8(11)7-9(10)12/h5-7H,3-4H2,1-2H3
";C10H13Cl2O4P;299.08;297.992851;; ;;;Comptox similarity search to TPP;0.653061211
DTXSID2058172;Propaphos;7292-16-2;PWYIUEFFPNVCMW-UHFFFAOYSA-N;4-(Methylsulfanyl)phenyl dipropyl phosphate;CCCOP(=O)(OCCC)OC1=CC=C(SC)C=C1;"InChI=1S/C13H21O4PS/c1-4-10-15-18(14,16-11-5-2)17-12-6-8-13(19-3)9-7-12/h6-9H,4-5,10-11H2,1-3H3
";C13H21O4PS;304.34;304.089817;1; ;;;Comptox similarity search to TPP;0.653061211
DTXSID40980099;Quinolin-8-yl dihydrogen phosphate;63716-67-6;ZECSTTAOTMSGAM-UHFFFAOYSA-N;Quinolin-8-yl dihydrogen phosphate;OP(O)(=O)OC1=CC=CC2=C1N=CC=C2;"InChI=1S/C9H8NO4P/c11-15(12,13)14-8-5-1-3-7-4-2-6-10-9(7)8/h1-6H,(H2,11,12,13)
";C9H8NO4P;225.14;225.019095;5; ;;;Comptox similarity search to TPP;0.607843161
DTXSID90903990;Sodium p-nitrophenyl phosphate;4154-43-2;RUYANEADGUFWRJ-UHFFFAOYSA-M;Sodium 4-nitrophenyl hydrogen phosphate;[Na+].OP([O-])(=O)OC1=CC=C(C=C1)[N+]([O-])=O;"InChI=1S/C6H6NO6P.Na/c8-7(9)5-1-3-6(4-2-5)13-14(10,11)12;/h1-4H,(H2,10,11,12);/q;+1/p-1
";C6H5NNaO6P;241.071;240.975218;1; ;;;Comptox similarity search to TPP;0.607843161
DTXSID50199478;Diisopropylphenylphosphate;51496-03-8;SFFTXLYPBWITRH-UHFFFAOYSA-N;2,3-Di(propan-2-yl)phenyl dihydrogen phosphate;CC(C)C1=C(C(C)C)C(OP(O)(O)=O)=CC=C1;"InChI=1S/C12H19O4P/c1-8(2)10-6-5-7-11(12(10)9(3)4)16-17(13,14)15/h5-9H,1-4H3,(H2,13,14,15)
";C12H19O4P;258.254;258.102096;4; ;;;Comptox similarity search to TPP;0.607843161
DTXSID40999469;Dipropan-2-yl pyridin-3-yl phosphate;78218-73-2;ACKRFIVKCUEHFW-UHFFFAOYSA-N;Dipropan-2-yl pyridin-3-yl phosphate;CC(C)OP(=O)(OC(C)C)OC1=CN=CC=C1;"InChI=1S/C11H18NO4P/c1-9(2)14-17(13,15-10(3)4)16-11-6-5-7-12-8-11/h5-10H,1-4H3
";C11H18NO4P;259.242;259.097345;5; ;;;Comptox similarity search to TPP;0.607843161
DTXSID30208411;Tri-p-tolyl thiophosphate;597-84-2;KOPAJQQYQQKYEG-UHFFFAOYSA-N;O,O,O-Tris(4-methylphenyl) phosphorothioate;CC1=CC=C(OP(=S)(OC2=CC=C(C)C=C2)OC2=CC=C(C)C=C2)C=C1;"InChI=1S/C21H21O3PS/c1-16-4-10-19(11-5-16)22-25(26,23-20-12-6-17(2)7-13-20)24-21-14-8-18(3)9-15-21/h4-15H,1-3H3
";C21H21O3PS;384.43;384.094903;4; ;;;Comptox similarity search to TPP;0.604651153
DTXSID40508479;Ethyl phenyl methylphosphonate;38074-88-3;WPGSABOEWQELIF-UHFFFAOYSA-N;Ethyl phenyl methylphosphonate;CCOP(C)(=O)OC1=CC=CC=C1;"InChI=1S/C9H13O3P/c1-3-11-13(2,10)12-9-7-5-4-6-8-9/h4-8H,3H2,1-2H3
";C9H13O3P;200.174;200.060231;5; ;;;Comptox similarity search to TPP;0.604166687
DTXSID30382886;Phosphonic acid, ethenyl-, diphenyl ester;727-16-2;VLHORJVZAKSXHV-UHFFFAOYSA-N;Diphenyl ethenylphosphonate;C=CP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1;"InChI=1S/C14H13O3P/c1-2-18(15,16-13-9-5-3-6-10-13)17-14-11-7-4-8-12-14/h2-12H,1H2
";C14H13O3P;260.229;260.060231;5; ;;;Comptox similarity search to TPP;0.604166687
DTXSID70382744;Phosphonic acid, ethyl-, diphenyl ester;7526-29-6;UHMQAIKRVPHZGY-UHFFFAOYSA-N;Diphenyl ethylphosphonate;CCP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1;"InChI=1S/C14H15O3P/c1-2-18(15,16-13-9-5-3-6-10-13)17-14-11-7-4-8-12-14/h3-12H,2H2,1H3
";C14H15O3P;262.245;262.075881;5; ;;;Comptox similarity search to TPP;0.604166687
DTXSID20208884;1-Methyl-3-(methyl-(3-methylphenoxy)phosphoryl)oxybenzene;60146-73-8;SBUKINWFZLSXAC-UHFFFAOYSA-N;Bis(3-methylphenyl) methylphosphonate;CC1=CC(OP(C)(=O)OC2=CC=CC(C)=C2)=CC=C1;"InChI=1S/C15H17O3P/c1-12-6-4-8-14(10-12)17-19(3,16)18-15-9-5-7-13(2)11-15/h4-11H,1-3H3
";C15H17O3P;276.272;276.091531;; ;;;Comptox similarity search to TPP;0.604166687
DTXSID80237372;Phosphonic acid, methyl-, bis(3,5-dimethylphenyl) ester;88847-66-9;QHVKDBCTUHRTIN-UHFFFAOYSA-N;Bis(3,5-dimethylphenyl) methylphosphonate;CC1=CC(OP(C)(=O)OC2=CC(C)=CC(C)=C2)=CC(C)=C1;"InChI=1S/C17H21O3P/c1-12-6-13(2)9-16(8-12)19-21(5,18)20-17-10-14(3)7-15(4)11-17/h6-11H,1-5H3
";C17H21O3P;304.326;304.122832;4; ;;;Comptox similarity search to TPP;0.604166687
DTXSID00817796;Dimethyl 4-methylquinolin-6-yl phosphate;61391-53-5;IPUICAIEUYUPAW-UHFFFAOYSA-N;Dimethyl 4-methylquinolin-6-yl phosphate;COP(=O)(OC)OC1=CC2=C(C)C=CN=C2C=C1;"InChI=1S/C12H14NO4P/c1-9-6-7-13-12-5-4-10(8-11(9)12)17-18(14,15-2)16-3/h4-8H,1-3H3
";C12H14NO4P;267.221;267.066045;5; ;;;Comptox similarity search to TPP;0.603773594
DTXSID201134076;Phosphoric acid, mono[2,6-bis(1,1-dimethylethyl)-4-methylphenyl] monoethyl ester;1387578-67-7;DPRHMMRRFKWPAA-UHFFFAOYNA-N;2,6-Di-tert-butyl-4-methylphenyl ethyl hydrogen phosphate;CCOP(O)(=O)OC1=C(C=C(C)C=C1C(C)(C)C)C(C)(C)C;"InChI=1/C17H29O4P/c1-9-20-22(18,19)21-15-13(16(3,4)5)10-12(2)11-14(15)17(6,7)8/h10-11H,9H2,1-8H3,(H,18,19)
";C17H29O4P;328.389;328.180346;; ;;;Comptox similarity search to TPP;0.603773594
DTXSID30562424;2,6-Di-tert-butyl-4-methylphenyl diethyl phosphate;479025-43-9;FLXXJGVOGLFPJQ-UHFFFAOYSA-N;2,6-Di-tert-butyl-4-methylphenyl diethyl phosphate;CCOP(=O)(OCC)OC1=C(C=C(C)C=C1C(C)(C)C)C(C)(C)C;"InChI=1S/C19H33O4P/c1-10-21-24(20,22-11-2)23-17-15(18(4,5)6)12-14(3)13-16(17)19(7,8)9/h12-13H,10-11H2,1-9H3
";C19H33O4P;356.443;356.211647;5; ;;;Comptox similarity search to TPP;0.603773594
DTXSID60770515;Dihexyl 2-(hydroxymethyl)phenyl phosphate;141896-78-8;SDRGTRKGQXNWCP-UHFFFAOYSA-N;Dihexyl 2-(hydroxymethyl)phenyl phosphate;CCCCCCOP(=O)(OCCCCCC)OC1=CC=CC=C1CO;"InChI=1S/C19H33O5P/c1-3-5-7-11-15-22-25(21,23-16-12-8-6-4-2)24-19-14-10-9-13-18(19)17-20/h9-10,13-14,20H,3-8,11-12,15-17H2,1-2H3
";C19H33O5P;372.442;372.206561;5; ;;;Comptox similarity search to TPP;0.603773594
DTXSID90921033;Bis(4-chloro-2,3-dimethylphenyl) phosphate;113282-36-3;ORPOQXOITLYFDK-UHFFFAOYSA-M;Bis(4-chloro-2,3-dimethylphenyl) phosphate;CC1=C(C)C(OP([O-])(=O)OC2=CC=C(Cl)C(C)=C2C)=CC=C1Cl;"InChI=1S/C16H17Cl2O4P/c1-9-11(3)15(7-5-13(9)17)21-23(19,20)22-16-8-6-14(18)10(2)12(16)4/h5-8H,1-4H3,(H,19,20)/p-1
";C16H16Cl2O4P;374.17;373.016875;5; ;;;Comptox similarity search to TPP;0.603773594
DTXSID60226289;Phosphoric acid, 2,5-dichloro-4-iodophenyl dimethyl ester;7533-78-0;NJEQSBGZSNTGJJ-UHFFFAOYSA-N;2,5-Dichloro-4-iodophenyl dimethyl phosphate;COP(=O)(OC)OC1=CC(Cl)=C(I)C=C1Cl;"InChI=1S/C8H8Cl2IO4P/c1-13-16(12,14-2)15-8-4-5(9)7(11)3-6(8)10/h3-4H,1-2H3
";C8H8Cl2IO4P;396.93;395.858200;4; ;;;Comptox similarity search to TPP;0.603773594
DTXSID60224725;Phosphoric acid, (2-butoxy-1-naphthyl) dibutyl ester;73972-73-3;PIHWTEAIJMIGNW-UHFFFAOYSA-N;2-Butoxynaphthalen-1-yl dibutyl phosphate;CCCCOC1=C(OP(=O)(OCCCC)OCCCC)C2=CC=CC=C2C=C1;"InChI=1S/C22H33O5P/c1-4-7-16-24-21-15-14-19-12-10-11-13-20(19)22(21)27-28(23,25-17-8-5-2)26-18-9-6-3/h10-15H,4-9,16-18H2,1-3H3
";C22H33O5P;408.475;408.206561;4; ;;;Comptox similarity search to TPP;0.603773594
DTXSID60816164;Bis(2,4-dichlorophenyl) 2-ethoxyethyl phosphate;61574-73-0;WFSLLNIVVYOLFV-UHFFFAOYSA-N;Bis(2,4-dichlorophenyl) 2-ethoxyethyl phosphate;CCOCCOP(=O)(OC1=C(Cl)C=C(Cl)C=C1)OC1=C(Cl)C=C(Cl)C=C1;"InChI=1S/C16H15Cl4O5P/c1-2-22-7-8-23-26(21,24-15-5-3-11(17)9-13(15)19)25-16-6-4-12(18)10-14(16)20/h3-6,9-10H,2,7-8H2,1H3
";C16H15Cl4O5P;460.06;457.941121;5; ;;;Comptox similarity search to TPP;0.603773594
