DTXSID;PREFERRED NAME;CASRN;INCHIKEY;IUPAC NAME;SMILES;INCHI STRING;MOLECULAR FORMULA;AVERAGE MASS;MONOISOTOPIC MASS;QC Level;# ToxCast Active;Total Assays;% ToxCast Active;Origin;Similarity to TPP [tanimoto]
DTXSID50780441;2-Methoxyphenyl dimethyl phosphate;27122-74-3;GHPAKIQQBRJGDR-UHFFFAOYSA-N;2-Methoxyphenyl dimethyl phosphate;COC1=CC=CC=C1OP(=O)(OC)OC;"InChI=1S/C9H13O5P/c1-11-8-6-4-5-7-9(8)14-15(10,12-2)13-3/h4-7H,1-3H3
";C9H13O5P;232.172;232.050061;5; ;;;Comptox similarity search to TPP;0.820512831
DTXSID30335579;Dimethyl 4-chlorophenyl phosphate;18264-30-7;FKNLOMSDGFTRBO-UHFFFAOYSA-N;4-Chlorophenyl dimethyl phosphate;COP(=O)(OC)OC1=CC=C(Cl)C=C1;"InChI=1S/C8H10ClO4P/c1-11-14(10,12-2)13-8-5-3-7(9)4-6-8/h3-6H,1-2H3
";C8H10ClO4P;236.59;236.000524;5; ;;;Comptox similarity search to TPP;0.820512831
DTXSID70335578;Dimethyl 4-bromophenyl phosphate;130876-36-7;QEQBXPUBBUQQSW-UHFFFAOYSA-N;4-Bromophenyl dimethyl phosphate;COP(=O)(OC)OC1=CC=C(Br)C=C1;"InChI=1S/C8H10BrO4P/c1-11-14(10,12-2)13-8-5-3-7(9)4-6-8/h3-6H,1-2H3
";C8H10BrO4P;281.042;279.950009;5; ;;;Comptox similarity search to TPP;0.820512831
DTXSID90167858;Phosphoric acid, diethyl 2-naphthalenyl ester;16519-26-9;SIHQLNSQZGAHQX-UHFFFAOYSA-N;Diethyl naphthalen-2-yl phosphate;CCOP(=O)(OCC)OC1=CC2=CC=CC=C2C=C1;"InChI=1S/C14H17O4P/c1-3-16-19(15,17-4-2)18-14-10-9-12-7-5-6-8-13(12)11-14/h5-11H,3-4H2,1-2H3
";C14H17O4P;280.26;280.086446;4; ;;;Comptox similarity search to TPP;0.820512831
DTXSID90787151;4-Chlorophenyl phenyl phosphate;59447-19-7;KLIQVCLTGXUPHY-UHFFFAOYSA-M;4-Chlorophenyl phenyl phosphate;[O-]P(=O)(OC1=CC=CC=C1)OC1=CC=C(Cl)C=C1;"InChI=1S/C12H10ClO4P/c13-10-6-8-12(9-7-10)17-18(14,15)16-11-4-2-1-3-5-11/h1-9H,(H,14,15)/p-1
";C12H9ClO4P;283.62;282.993247;5; ;;;Comptox similarity search to TPP;0.820512831
DTXSID30209584;Isopropyl diphenyl phosphate;60763-39-5;YDICVVYPXSZSFA-UHFFFAOYSA-N;Diphenyl propan-2-yl phosphate;CC(C)OP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1;"InChI=1S/C15H17O4P/c1-13(2)17-20(16,18-14-9-5-3-6-10-14)19-15-11-7-4-8-12-15/h3-13H,1-2H3
";C15H17O4P;292.271;292.086446;; ;;;Comptox similarity search to TPP;0.820512831
DTXSID30366823;bis(4-chlorophenyl) phosphate;4795-31-7;PLDCKYUUCIJIKY-UHFFFAOYSA-M;Bis(4-chlorophenyl) phosphate;[O-]P(=O)(OC1=CC=C(Cl)C=C1)OC1=CC=C(Cl)C=C1;"InChI=1S/C12H9Cl2O4P/c13-9-1-5-11(6-2-9)17-19(15,16)18-12-7-3-10(14)4-8-12/h1-8H,(H,15,16)/p-1
";C12H8Cl2O4P;318.07;316.954275;5; ;;;Comptox similarity search to TPP;0.820512831
DTXSID90195136;Phenol, p-amino-, phosphate (3:1) (ester);4232-84-2;ZYPZVOKVDNSKLP-UHFFFAOYSA-N;Tris(4-aminophenyl) phosphate;NC1=CC=C(OP(=O)(OC2=CC=C(N)C=C2)OC2=CC=C(N)C=C2)C=C1;"InChI=1S/C18H18N3O4P/c19-13-1-7-16(8-2-13)23-26(22,24-17-9-3-14(20)4-10-17)25-18-11-5-15(21)6-12-18/h1-12H,19-21H2
";C18H18N3O4P;371.333;371.103493;; ;;;Comptox similarity search to TPP;0.820512831
DTXSID6022212;Tris(3,4-dimethylphenyl) phosphate;3862-11-1;BCTKCHOESSAGCN-UHFFFAOYSA-N;Tris(3,4-dimethylphenyl) phosphate;CC1=CC=C(OP(=O)(OC2=CC(C)=C(C)C=C2)OC2=CC(C)=C(C)C=C2)C=C1C;"InChI=1S/C24H27O4P/c1-16-7-10-22(13-19(16)4)26-29(25,27-23-11-8-17(2)20(5)14-23)28-24-12-9-18(3)21(6)15-24/h7-15H,1-6H3
";C24H27O4P;410.45;410.164696;1; ;;;Comptox similarity search to TPP;0.820512831
DTXSID70204836;Guaiacol phosphate;563-03-1;ADBFDJQRBQZXAB-UHFFFAOYSA-N;Tris(2-methoxyphenyl) phosphate;COC1=CC=CC=C1OP(=O)(OC1=CC=CC=C1OC)OC1=CC=CC=C1OC;"InChI=1S/C21H21O7P/c1-23-16-10-4-7-13-19(16)26-29(22,27-20-14-8-5-11-17(20)24-2)28-21-15-9-6-12-18(21)25-3/h4-15H,1-3H3
";C21H21O7P;416.366;416.102490;; ;;;Comptox similarity search to TPP;0.820512831
